stock,cluster
AAPL,3
ABBV,0
ABT,5
ACN,3
ADBE,2
ADI,3
ADP,10
AMAT,2
AMD,6
AMGN,0
AMT,4
AMZN,2
APD,4
AVGO,2
AXP,3
BA,1
BAC,5
BDX,4
BKNG,11
BLK,3
BMY,13
BRK-B,10
C,5
CAT,11
CB,12
CI,14
CMCSA,4
CME,0
COP,14
COST,10
CRM,2
CSCO,5
CSX,10
CVS,13
CVX,4
DE,4
DHR,5
DIS,5
DUK,0
EOG,14
ETN,11
GE,11
GILD,0
GOOG,3
GOOGL,3
GS,10
HD,10
HON,10
IBM,12
INTC,1
INTU,2
ISRG,2
ITW,10
JNJ,0
JPM,10
KO,12
LIN,10
LLY,9
LOW,5
MA,10
MCD,12
MDLZ,12
META,6
MMC,10
MO,0
MRK,0
MS,5
MSFT,3
NEE,4
NFLX,6
NOW,2
NVDA,7
ORCL,11
PEP,12
PFE,13
PG,12
PGR,14
PLD,5
PM,0
QCOM,2
RTX,4
SBUX,5
SO,0
SPGI,10
SYK,11
T,0
TJX,11
TMO,5
TMUS,12
TSLA,8
TXN,3
UNH,0
UPS,5
V,10
VRTX,14
VZ,13
WFC,5
WMT,0
XOM,14
ZTS,5
