stock,weight,q
AAPL,0.1272899177689443,20
ABBV,0.03656194360421752,20
AMZN,0.05552306798574159,20
AVGO,0.04141095882101284,20
BAC,0.07974454155836376,20
BRK-B,0.06100070881425219,20
CVX,0.035883519781358224,20
GOOG,0.053655665797066696,20
HON,0.02959741567776598,20
LLY,0.035451789480042975,20
MCD,0.06244947021246821,20
META,0.03540177363733744,20
MSFT,0.09389799418410077,20
NVDA,0.04284801461826489,20
PFE,0.031720110817942064,20
PM,0.03791765017236544,20
TMO,0.031402388504525015,20
TXN,0.039851023082356336,20
UNH,0.03475906540419054,20
WMT,0.03363298007768324,20
